"nid","title","SGA_ACERVO_VIDEO","Descritor","Descritor.1","Descritor.2","Descritor.3","Descritor.4","Descritor.5","Descritor.6","Descritor.7","Descritor.8","Descritor.9","Descritor.10","Descritor.11","Descritor.12","Descritor.13","Descritor.14","Descritor.15","Descritor.16","Descritor.17","Descritor.18","Descritor.19","Descritor.20","Descritor.21","Descritor.22"
"448","FHC - A TRAJETÓRIA DO PRESIDENTE","1036","1054","1073","1076","1203","1279","1562",,,,,,,,,,,,,,,,,
"449","GOEBBELS, MESTRE DA PROPAGANDA","1037","1036","1148","1177","1208","1278","1342","1349","1353","1504",,,,,,,,,,,,,,
"450","MARKETING POLÍTICO, O ESTILO AMERICANO","1038","1073","1153","1191","1208","1286",,,,,,,,,,,,,,,,,,
"451","FORÇA DA NOVELA, A","1039","1073","1190","1191","1208","1279","1327","1347","1638","1639","1640","1641",,,,,,,,,,,,
"452","BRASIL GRANDE E OS ÍNDIOS GIGANTES, O","1040","1044","1092","1159","1193","1194","1244","1271","1378","1457",,,,,,,,,,,,,,
"453","PRISIONEIROS DO MEDO","1041","1049","1050","1060","1154","1273","1351","1366","1393",,,,,,,,,,,,,,,
"454","TURMA DE CICERO, A","1042","1064","1116","1162","1504","1625",,,,,,,,,,,,,,,,,,
"455","MULTIPLICAÇÃO DE MARIA, A","1043","1220","1230","1392",,,,,,,,,,,,,,,,,,,,
"456","EM NOME DO PROFETA (1º PROGRAMA)","1044","1125","1214","1222","1276","1316","1504","1597","1598",,,,,,,,,,,,,,,
"457","MULHER MUÇULMANA, A (3º PROGRAMA)","1046","1055","1097","1124","1165","1214","1231","1276","1446","1510","1525",,,,,,,,,,,,,
"458","ARTE DO VIVER, A (1º PROGRAMA)","1047","1066","1073","1089","1099","1114","1370","1504","1541",,,,,,,,,,,,,,,
"459","DRAMA BURGUÊS, O (3º PROGRAMA)","1049","1048","1066","1073","1089","1099","1370","1371","1372","1401","1504",,,,,,,,,,,,,
"460","REINADOS, OS","1051","1078","1117","1191","1279","1336","1368",,,,,,,,,,,,,,,,,
"461","SÉCULO XVIII: A COLÔNIA DOURADA","1052","1078","1117","1140","1191","1336","1367","1380",,,,,,,,,,,,,,,,
"462","ERA JK, A","1053","1026","1130","1153","1157","1203","1369","1563",,,,,,,,,,,,,,,,
"463","MARIO... UM HOMEM DESINFELIZ","1054","1038","1130","1157","1393",,,,,,,,,,,,,,,,,,,
"464","POESIA DE CADA DIA, A (5º EPISÓDIO)","1055","1130","1170","1279",,,,,,,,,,,,,,,,,,,,
"465","CAMINHOS DA ABSTRAÇÃO (2º EPISÓDIO)","1056","1113","1157","1279","1336",,,,,,,,,,,,,,,,,,,
"466","VIAJANDO PELO MODERNISMO (3º EPISÓDIO)","1057","1113","1157","1336",,,,,,,,,,,,,,,,,,,,
"467","FIRTH SOBRE  FIRTH - REFLEXÕES DE UM ANTROPÓLOGO","1058","1006","1066","1092","1147","1212","1289","1307","1504","1634",,,,,,,,,,,,,,
"468","ESTILOS DE VIDA (2º PROGRAMA)","908","1052","1092","1097","1109","1165","1178","1214","1230","1276","1281","1324","1446","1510","1531","1532","1534","1535",,,,,,
"469","CASA GRANDE E SENZALA","1060","1085","1092","1093","1113","1116","1178","1218","1222","1279","1402",,,,,,,,,,,,,
"470","SERTÕES, OS","1061","1108","1126","1159","1220","1263","1271","1295","1369",,,,,,,,,,,,,,,
"471","VIAGEM PESSOAL ATRAVÉS DO CINEMA NORTE AMERICANO COM M. SCORCESE, UMA (1º)","1062","1036","1048","1114","1147","1286","1349",,,,,,,,,,,,,,,,,
"472","VIAGEM PESSOAL ATRAVÉS DO CINEMA NORTE AMERICANO COM M. SCORCESE, UMA (2º)","1063","1036","1114","1286","1359","1555",,,,,,,,,,,,,,,,,,
"473","VIAGEM PESSOAL ATRAVÉS DO CINEMA NORTE AMERICANO COM M. SCORCESE, UMA (3º)","1064","1036","1114","1286","1349","1566",,,,,,,,,,,,,,,,,,
"474","CINEMA IRLANDÊS - NÓS SOZINHOS?","1065","1036","1116","1349","1546","1637",,,,,,,,,,,,,,,,,,
"475","TIPICAMENTE BRITÂNICO - UMA VISÃO PESSOAL DO CINEMA BRITÂNICO DE STEPHEN FR","1066","1036","1116","1289","1349","1504","1546",,,,,,,,,,,,,,,,,
"476","DUAS VEZES CINQUENTA ANOS DE CINEMA FRANCÊS","1067","1036","1316","1349","1504","1546",,,,,,,,,,,,,,,,,,
"477","CEM ANOS DE CINEMA VISTO POR NAGISA OSHIMA","1068","1036","1301","1349","1566",,,,,,,,,,,,,,,,,,,
"478","ENSAIO PESSOAL SOBRE O CINEMA NA CORÉIA POR JANG SUN-WOO","1069","1036","1114","1349","1546","1566","1642",,,,,,,,,,,,,,,,,
"479","CINEMA DE LÁGRIMAS","1070","1004","1036","1038","1279","1486","1538","1540",,,,,,,,,,,,,,,,
"480","TERRA DE COLOMBO, A - INVASÃO (1º PROGRAMA)","1071","1044","1052","1091","1114","1159","1206","1271","1279","1283","1457","1581","1600","1643","1645","1646",,,,,,,,
"481","TEM QUE SER BAIANO","1073","1049","1154","1164","1264","1351","1393",,,,,,,,,,,,,,,,,
"482","IRMÃOS DE NAVIO - HISTÓRIAS DA IMIGRAÇÃO JUDAICA PARA O BRASIL","1074","1122","1162","1177","1279","1342","1353",,,,,,,,,,,,,,,,,
"483","RIO DE MEMÓRIAS","1075","1036","1105","1113","1229","1559",,,,,,,,,,,,,,,,,,
"484","POQUITO DE AGUA, UM","1076","1050","1143","1144","1279","1486",,,,,,,,,,,,,,,,,,
"485","CINEMA DE INQUIETAÇÃO - UMA VIAGEM PESSOAL DE SAM NEIL","1077","1036","1116","1307","1546","1634",,,,,,,,,,,,,,,,,,
"486","MORTE - A VIAGEM DE UMA VIDA","1078","1066","1067","1159","1212","1217","1218","1233","1276","1286","1289","1310","1327","1486","1504","1549","1600",,,,,,,
"487","PEQUENA ITÁLIA","1079","1162","1279","1388","1392","1504","1618",,,,,,,,,,,,,,,,,
"488","PERCEPÇÃO DA PAISAGEM URBANA","1080",,,,,,,,,,,,,,,,,,,,,,,
"489","JANDIRA","1081","1154","1165","1206","1392","1621",,,,,,,,,,,,,,,,,,
"490","NOUVELLE VAGUE POR ELA MESMA, A","1082","1036","1316","1349","1359","1504",,,,,,,,,,,,,,,,,,
"491","CINEMA DO BAIRRO DOS PÊSSEGOS, O","1083","1149","1316","1349","1361","1373","1504",,,,,,,,,,,,,,,,,
"492","RITUAL DAS FLAUTAS","1084","1172","1187","1233","1378","1452","1557",,,,,,,,,,,,,,,,,
"493","SAFORAI","1089","1070","1187","1230","1378","1452","1557",,,,,,,,,,,,,,,,,
"494","CIDADAO KANE","1085","1038","1190","1286",,,,,,,,,,,,,,,,,,,,
"495","TEREZA","1086","1124","1159","1209","1271","1273","1356","1366","1392","1731",,,,,,,,,,,,,,
"496","PÁSSAROS MORTOS","1088","1108","1155","1159","1233","1250","1525","1648",,,,,,,,,,,,,,,,
"497","KABUKI - TEATRO CLÁSSICO JAPONÊS","1090","1070","1259","1301",,,,,,,,,,,,,,,,,,,,
"498","DIÁLOGO COM A MORTE","1091","1078","1100","1154","1159","1161",,,,,,,,,,,,,,,,,,
"499","DO OUTRO LADO DA SUA CASA","1092","1100","1154","1337","1356","1392","1731",,,,,,,,,,,,,,,,,
"500","PEDRAS NO MEIO DO CAMINHO, AS","1093","1062","1097","1100","1271","1273","1337","1366","1393",,,,,,,,,,,,,,,
"501","BALI, FRAGMENTOS DE UM COTIDIANO EM TENSÃO","1094","1212","1230","1233","1268","1525","1549",,,,,,,,,,,,,,,,,
