nid,title,SGA ACERVO IMAGEM,SGA ACERVO IMAGEM,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,,
3181,BO-BORORO-0108,005957,5957,413,471,,,,,,,785,,,, , , , ,,,,,,,,5957
3182,BO-BORORO-0109,005958,5958,413,471,,,,,,,785,,,, , , , ,,,,,,,,5958
3183,BO-BORORO-0110,005959,5959,34,413,471,,,,,, , , , , , , , ,,,,,,,,5959
3184,BO-BORORO-0111,005960,5960,33,413,471,,,,,, , , , , , , , ,,,,,,,,5960
3185,BO-BORORO-0112,005961,5961,33,413,471,,,,,, , , , , , , , ,,,,,,,,5961
3186,BO-BORORO-0113,005962,5962,20,413,471,,,,,, , , , , , , , ,,,,,,,,5962
3187,BO-BORORO-0114,005963,5963,35,413,471,,,,,, , , , , , , , ,,,,,,,,5963
3188,BO-BORORO-0115,005964,5964,62,172,413,471,,,,, , , , , , , , ,,,,,,,,5964
3189,BO-BORORO-0116,005965,5965,11,413,471,730,,,,, , , , , , , , ,,,,,,,,5965
3190,BO-BORORO-0117,005966,5966,101,413,471,,,,,, , , , , , , , ,,,,,,,,5966
3191,BO-BORORO-0118,005967,5967,172,413,471,,,,,,730,,,, , , , ,,,,,,,,5967
3192,BO-BORORO-0119,005968,5968,172,413,471,,,,,,730,,,, , , , ,,,,,,,,5968
3193,BO-BORORO-0120,005969,5969,413,471,,,,,,,730,119,,, , , , ,,,,,,,,5969
3194,BO-BORORO-0121,005970,5970,248,413,471,,,,,, , , , , , , , ,,,,,,,,5970
3195,BO-BORORO-0122,005971,5971,172,413,471,,,,,,730,,,, , , , ,,,,,,,,5971
3196,BO-BORORO-0123,005972,5972,119,413,471,730,,,,, , , , , , , , ,,,,,,,,5972
3197,BO-BORORO-0124,005973,5973,48,413,471,,,,,, , , , , , , , ,,,,,,,,5973
3198,BO-BORORO-0125,005974,5974,263,413,471,,,,,,285,,,, , , , ,,,,,,,,5974
3199,BO-BORORO-0126,005975,5975,263,413,471,,,,,, , , , , , , , ,,,,,,,,5975
3200,BO-BORORO-0127,005976,5976,119,413,471,730,,,,, , , , , , , , ,,,,,,,,5976
3201,BO-BORORO-0128,005977,5977,62,196,413,471,,,,, , , , , , , , ,,,,,,,,5977
3202,BO-BORORO-0129,005978,5978,62,413,471,,,,,, , , , , , , , ,,,,,,,,5978
3203,BO-BORORO-0130,005979,5979,283,413,471,,,,,,730,,,, , , , ,,,,,,,,5979
3204,BO-BORORO-0131,005980,5980,11,62,,,,,,,413,471,,, , , , ,,,,,,,,5980
3205,BO-BORORO-0132,005981,5981,18,119,413,471,,,,,730,,,, , , , ,,,,,,,,5981
3206,BO-BORORO-0133,005982,5982,114,413,471,,,,,, , , , , , , , ,,,,,,,,5982
3207,BO-BORORO-0134,005983,5983,62,151,413,471,,,,, , , , , , , , ,,,,,,,,5983
3208,BO-BORORO-0135,005984,5984,1,114,413,,,,,,471,,,, , , , ,,,,,,,,5984
3209,BO-BORORO-0136,005985,5985,266,282,413,471,,,,, , , , , , , , ,,,,,,,,5985
3210,BO-BORORO-0137,005986,5986,31,413,471,,,,,, , , , , , , , ,,,,,,,,5986
3211,BO-BORORO-0138,005987,5987,413,471,730,,,,,, , , , , , , , ,,,,,,,,5987
3212,BO-BORORO-0139,005988,5988,72,126,413,471,,,,,242,,,, , , , ,,,,,,,,5988
3213,BO-BORORO-0140,005989,5989,126,413,471,,,,,, , , , , , , , ,,,,,,,,5989
3214,BO-BORORO-0141,005990,5990,126,413,471,,,,,, , , , , , , , ,,,,,,,,5990
3215,BO-BORORO-0142,005991,5991,126,413,471,,,,,, , , , , , , , ,,,,,,,,5991
3216,BO-BORORO-0143,005992,5992,126,413,471,,,,,, , , , , , , , ,,,,,,,,5992
3217,BO-BORORO-0144,005993,5993,19,413,471,,,,,, , , , , , , , ,,,,,,,,5993
3218,BO-BORORO-0145,005994,5994,72,413,471,,,,,, , , , , , , , ,,,,,,,,5994
3219,BO-BORORO-0146,005995,5995,172,,,,,,,,413,471,,,730,,,,,,,,,,,5995
3220,BO-BORORO-0147,005996,5996,181,413,471,,,,,, , , , , , , , ,,,,,,,,5996
3221,BO-BORORO-0148,005997,5997,172,413,471,,,,,, , , , , , , , ,,,,,,,,5997
3222,BO-BORORO-0149,005998,5998,48,413,471,,,,,,18,,,, , , , ,,,,,,,,5998
3223,BO-BORORO-0150,005999,5999,242,413,471,,,,,, , , , , , , , ,,,,,,,,5999
3224,BO-BORORO-0151,006000,6000,59,413,471,,,,,, , , , , , , , ,,,,,,,,6000
3225,BO-BORORO-0152,006001,6001,151,399,413,471,,,,, , , , , , , , ,,,,,,,,6001
3226,BO-BORORO-0153,006002,6002,31,413,471,,,,,, , , , , , , , ,,,,,,,,6002
3227,BO-BORORO-0154,006003,6003,196,239,413,471,,,,, , , , , , , , ,,,,,,,,6003
3228,BO-BORORO-0155,006004,6004,196,413,471,,,,,, , , , , , , , ,,,,,,,,6004
3229,BO-BORORO-0156,006005,6005,196,242,413,471,,,,, , , , , , , , ,,,,,,,,6005
3230,BO-BORORO-0157,006006,6006,62,90,413,471,,,,, , , , , , , , ,,,,,,,,6006
3231,BO-BORORO-0158,006007,6007,62,90,413,471,,,,, , , , , , , , ,,,,,,,,6007
3232,BO-BORORO-0159,006008,6008,61,413,471,,,,,, , , , , , , , ,,,,,,,,6008
3233,BO-BORORO-0160,006009,6009,115,173,413,471,,,,, , , , , , , , ,,,,,,,,6009
3234,BO-BORORO-0161,006010,6010,31,413,471,,,,,, , , , , , , , ,,,,,,,,6010
3235,BO-BORORO-0162,006011,6011,31,413,471,,,,,, , , , , , , , ,,,,,,,,6011
