nid,title,SGA_ACERVO_VIDEO,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor
481,TEM QUE SER BAIANO,1073,50,160,171,273,384,428,,,,,,,,,,,,,,,,,
482,IRMÃOS DE NAVIO - HISTÓRIAS DA IMIGRAÇÃO JUDAICA PARA O BRASIL,1074,128,169,185,305,375,386,,,,,,,,,,,,,,,,,
483,RIO DE MEMÓRIAS,1075,36,109,117,238,598,,,,,,,,,,,,,,,,,,
484,"POQUITO DE AGUA, UM",1076,51,149,150,305,525,,,,,,,,,,,,,,,,,,
485,CINEMA DE INQUIETAÇÃO - UMA VIAGEM PESSOAL DE SAM NEIL,1077,36,120,338,585,673,,,,,,,,,,,,,,,,,,
486,MORTE - A VIAGEM DE UMA VIDA,1078,68,69,166,221,226,227,242,296,314,317,341,358,525,543,588,639,,,,,,,
487,PEQUENA ITÁLIA,1079,169,305,423,427,543,657,,,,,,,,,,,,,,,,,
488,PERCEPÇÃO DA PAISAGEM URBANA,1080,,,,,,,,,,,,,,,,,,,,,,,
489,JANDIRA,1081,160,172,215,427,660,,,,,,,,,,,,,,,,,,
490,"NOUVELLE VAGUE POR ELA MESMA, A",1082,36,347,382,393,543,,,,,,,,,,,,,,,,,,
491,"CINEMA DO BAIRRO DOS PÊSSEGOS, O",1083,155,347,382,395,408,543,,,,,,,,,,,,,,,,,
492,RITUAL DAS FLAUTAS,1084,179,196,242,413,491,596,,,,,,,,,,,,,,,,,
493,SAFORAI,1089,72,196,239,413,491,596,,,,,,,,,,,,,,,,,
494,CIDADAO KANE,1085,38,199,314,,,,,,,,,,,,,,,,,,,,
495,TEREZA,1086,130,166,218,284,286,390,401,427,778,,,,,,,,,,,,,,
496,PÁSSAROS MORTOS,1088,112,161,166,242,259,564,687,,,,,,,,,,,,,,,,
497,KABUKI - TEATRO CLÁSSICO JAPONÊS,1090,72,268,331,,,,,,,,,,,,,,,,,,,,
498,DIÁLOGO COM A MORTE,1091,80,104,160,166,168,,,,,,,,,,,,,,,,,,
499,DO OUTRO LADO DA SUA CASA,1092,104,160,370,390,427,778,,,,,,,,,,,,,,,,,
500,"PEDRAS NO MEIO DO CAMINHO, AS",1093,64,101,104,284,286,370,401,428,,,,,,,,,,,,,,,
501,"BALI, FRAGMENTOS DE UM COTIDIANO EM TENSÃO",1094,221,239,242,281,564,588,,,,,,,,,,,,,,,,,
502,YÃKWA - O BANQUETE DOS ESPÍRITOS,1095,161,241,266,413,688,,,,,,,,,,,,,,,,,,
503,AMORES DE RUA,1096,76,172,219,257,305,390,778,,,,,,,,,,,,,,,,
504,E POR AÍ VOU FICANDO...,1097,50,51,109,598,,,,,,,,,,,,,,,,,,,
505,BOCA DE LIXO,1098,104,160,270,421,,,,,,,,,,,,,,,,,,,
506,FUNK RIO,1099,48,72,160,284,384,598,690,,,,,,,,,,,,,,,,
