Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0460,,,Revista Brasileira de Estudos Políticos,,Universidade Federal de Minas Gerais,1998,Belo Horizonte - MG,,Revista,n.86/jan.,150p.,,
AB0461,,,Revista de Psicanálise Integral,,Sociedade Internacional de Trilogia Analítica,1995,"São Paulo - SP, Lisboa",,Revista,"Ano XVII, n.25 ",112p.,,
AB0462,Instituto de Física,"Exposição: Os cinquenta anos do Méson. 1947-48, 1997-98",,,,1998,São Paulo - SP,,Exposição,,32p.,Texto de Amélia Império Hamburger e Antonio Augusto Passos Videira.,
AB0463,FFLCH-USP,Programas  para 1974-História ,,,FFLCH-USP,1974,São Paulo - SP,,Programas,,115p.,Constam 2 exemplares,
AB0464,"MENESES, Ulpiano T. Bezerra de et alii",Como explorar um museu histórico,Anais do Museu Paulista,,Museu Paulista-USP,1992,São Paulo - SP,,Anais,,29p.,,
AB0465,CESCEA,Instruções e programas para o vestibular,,,CESCEA,1972,São Paulo - SP,,,,47p.,,
AB0466,"JAMBEIRO, Marusia de Brito",Engenhos de rapadura: racionalidade do tradicional numa sociedade em desenvolvimento,,,IEB-USP,1993,São Paulo - SP,,Livro,n.29,193p.,,
AB0467,Instituto de Estudos Brasileiros,"André Rebouças. Diário, A Guerra do Paraguai (1866). Introdução e Notas de Maria Odila Silva Dias",,,EDUSP,1973,São Paulo - SP,,Livro,n.27,173p.,,
AB0468,"XAVIER, Libânia Nacif",O Brasil como laboratório-Educação e Ciências Sociais no Projeto do Centro Brasileiro de Pesquisas Educacionais CBPE/INEP/MEC (1950-1960),,,IFAN/CDAPH/EDUSF,1999,Bragança Paulista - SP,,Livro,n.7,281p.,Coleção Estudos CDAPH,
AB0469,"CARVALHO, Marta Maria Chagas de ","Molde Nacional e Fôrma Cívica: Higiene, Moral e Trabalho no Projeto da Associação Brasileira de Educação (1924-1931 ",,,EDUSF,1998,Bragança Paulista - SP,,Livro,,506p.,,
AB0470,,,Estudos Avançados,"Brasil: desafios II, mercado global vs. Nação. Poluição: o ar e as águas. O TAO e BRECHT. Música: UAKTI.",,mai.- ago./2000,São Paulo - SP,,Revista,"v.14, n.39",276p.,,
AB0471,"LOUANT, Armand","Garpard Schetz seigneur de Grobbendonck, gacteur du Roi d'Espagne á Anvers (1555-1561)","Annales du Congrès d'Anvers, 1930",Engenho de São Jorge dos Erasmos ,,1931,Anvers - Bélgica,,,,56p.,Cópia de microfilme,
AB0472,,,Estudos Avançados,"Brasil: desafios III, ética e economia, antropologia indígena, dança: grupo corpo",,set.-dez./2000,São Paulo - SP,,Revista,"v.14, n.40",330p.,,
AB0473,,Meninos de Barro: trabalho infantil nas olarias.Índice geral dos cadernos,Cadernos do IFAN,,Universidade São Francisco/Instituto Francisco de Antropologia,1998,Bragança Paulista - SP,,Revista,n.20/21,268p.,,
AB0474,,"Globalização, Mercosul, educação e movimentos sociais",Cadernos do IFAN,,Universidade São Francisco/Instituto Francisco de Antropologia,1999,Bragança Paulista - SP,,Revista,n.24,90p.,,
AB0475,,Montaigne e a formação do indivíduo no Renascimento,Cadernos do IFAN,,Universidade São Francisco/Instituto Francisco de Antropologia,2000,Bragança Paulista - SP,,Revista,n.25,177p.,,
AB0476,"JUNQUEIRA, Mary Anne","Ao sul do Rio Grande. Imaginando América Latina em Seleções: oeste, wilderness e a fronteira, 1942-1970",,,EDUSF/CDAPH,2000,Bragança Paulista - SP,,Livro,,294p.,,
AB0477,"SMOLKA, Ana Luiza Bustamante; MENEZES, Maria Cristina (org.)","Anísio Teixeira, 1900-2000. Provocações em Educação.",,,Universidade São Francisco/Instituto Francisco de Antropologia,2000,Bragança Paulista - SP,,Livro,,187p.,Coleção Memória da Educação,
AB0478,"VIDAL, Diana Gonçalves (org.)",Na batalha da educação: correspondência entre Anísio Teixeira e Fernando de Azevedo (1929-1971),,,Ed. da Universidade São Francisco-Instituto Francisco de Antropologia/IEB-USP,2000,Bragança Paulista - SP,,Livro,,206p.,,
AB0479,"GOMES, Angela de Castro (org.)",Capanema: o ministro e seu ministério.,,,Universidade São Francisco/FGV,2000,Rio de Janeiro - RJ,,Livro,,269p.,,
AB0480,FFCLCH - USP,Trilhas e Traços: Temas de Ciência Política,,,FFLCH-USP,2001,São Paulo - SP,,Livro,,179p.,Trabalhos apresentados no I Simpósio de pós Graduação em Ciência Política da FFLCH - 1999,
AB0481,"BIAGI, Luiz Lacerda","Família Biagi: os primeiros cem anos, 1888-1988",,,Laserprint,1987,São Paulo - SP,,Livro,,283p.,,
AB0482,FFLCH-USP,,Revista de História,,Humanitas,1o. sem. 1998,São Paulo - SP,,Revista,n.139,152p.,,
AB0483,FFLCH-USP,,Revista de História,,Humanitas,1o. sem. 1999,São Paulo - SP,,Revista,n.140,134p.,,
AB0484,"CUNHA, Derneval R. R. ",O CRUSP visto por um Mineiro,,CRUSP,Fundação Biblioteca Nacional,s.d.,[Rio de Janeiro],,Texto ,,76p.,Consta disquete e cópia impressa.,
AB0485,"BRANDÃO, Ignácio de Loyola",Club Athletico Paulistano: corpo e alma de um clube centenário,,,DBA Artes Gráficas,2000,São Paulo-SP,,Livro,,143p.,,
AB0486,,,Boletim da Oswald. Associação Atlética Acadêmica Oswald de Andrade.,,FFLCH - USP,2000,São Paulo - SP,,Boletim,,32p.,,
AB0487,Instituto de Saúde,,Boletim do Instituto de Saúde,,,2000,São Paulo-SP,,Boletim,n.25 dez.,27p.,,
AB0488,"KAREPOVS, Dainis","Eugênio Egas, Parlamentar e Historiador do Legislativo Paulista",,Eugênio Egas,Assembléia Legislativa do Estado de SP,2000,São Paulo - SP,,,,68p.,,
AB0489,,,ARCA - Revista de Divulgação do Arquivo Histórico de Campo Grande,,Prefeitura Municipal de Campo Grande,2000,Campo Grande - MS,,Revista,n.7,64p.,,
AB0490,"URBANO, Hudinilson et alli","Homenagem - Dino Preti e seus temas: oralidade, literatura, mídia e ensino",,,Ed. Cortez,2001,São Paulo - SP,,,,376p.,,
AB0491,"MARINHO, Maria Gabriela S. M. C.",Norte-americanos no Brasil: uma história da Fundação Rockfeller na Universidade de São Paulo (1934-1952),,,Autores Associados/Univ. São Francisco,2001,Campinas - SP,,Livro,,196p.,Coleção Educação Contemporânea,
AB0492,,Acervo do Arquivo do Estado de São Paulo. Seção de Manuscritos. III. Inventário do Fundo USP: 1911-1928,,,Secretaria de Estado da Cultura,1990,São Paulo - SP,,Inventário,,47p.,,
AB0493,"Associação Atlética Oswald Andrade, FFLCH-USP",,Boletim da Oswald. Associação Atlética Acadêmica Oswald de Andrade.,,FFLCH - USP+E149,2002,São Paulo - SP,,Boletim,n.3,23p.,,
AB0494,"MARTINS, Tarcísio José",Quilombo do Campo Grande. A História de Minas Roubada do Povo.,,,A Gazeta Maçônica,1995,São Paulo - SP,,Revista,,318p.,,
AB0495,"FREITAS, Marcos Cezar de (org.)",Histórica Social da Infância no Brasil,,,Cortez/ USF - IFAN,1997,São Paulo - SP,,Livro,,334p.,,
AB0496,"MALATIAN, Teresa",Oliveira Lima e a construção da nacionalidade.,,,EDUSC/FAPESP,2001,Bauru-SP,,Livro,,462p.,Coleção História,
AB0497,"VESENTINI, Carlos Alberto",A teia do fato. Uma proposta de estudo sobre a Memória Históica,,,Hucitec/ História Social USP,1977,São Paulo - SP,,Livro,,219p.,"tese de doutorado, História FFLCH - USP, 1982",
AB0498,,"Indústria cultural, Hinkelammert e o sujeito humano e globalização.",Cadernos do IFAN,,Universidade São Francisco/Instituto Francisco de Antropologia,2000,Bragança Paulista - SP,,Caderno,n.26,94p.,,
AB0499,"SILVA, J. C. Paulino da",Entre o desejo e o desprendimento: a noção do dinheiro na Igreja Perfect Liberty do Brasil,Cadernos do IFAN,,Universidade São Francisco/Instituto Francisco de Antropologia,2000,Bragança Paulista - SP,,Caderno,n.27,119p.,Dissertação de Mestrado-PUC-SP,
AB0500,"SALINAS, Samuel Sérgio",A América e o Capital,,,Mar Aberto,2001,São Paulo - SP,,Livro,,62p.,,
AB0501,,,Estudos Avançados,Bicentenário da Conjuração Mineira e Revolução Francesa ,IEA-USP,mai.-ago./1989,São Paulo - SP,,Revista,"v.3, n.6",145p.,Acompanha 1 exemplar.,
AB0502,,,Revista Imaginário,Imaginário e América Latina,NIME/LABI-Instituto de Psicologia-USP,2001,São Paulo-SP,,Revista,n.7,323p.,,
AB0503,"BOMENY, Helena (org.)",Constelação Capanema: intelectuais e políticas.,,,Universidade São Francisco/ FGV,2001,Rio de Janeiro - RJ,,Livro,,204p.,,
AB0504,"FERNANDES, Paula Porta S. (coord.)","Guia dos documentos históricos na cidade de São Paulo, 1554-1954",,,Hucitec/  Neps,1998,São Paulo - SP,,Guia,,832p.,,
AB0505,,,Estudos Avançados,Pensamento econômico; Eistein e Poincaré; São Paulo.,,jan.-abr./2001,São Paulo - SP,,Revista,"v.15, n.41",258p.,,
AB0506,,,Estudos Avançados,Dossiê Educação,,mai.-ago./2001,São Paulo - SP,,Revista,"v.15, n.42",486p.,Edição especial,
AB0507,,,Estudos Avançados,Dossiê Desenvolvimento Rural,,set.-dez./2001,São Paulo - SP,,Revista,"v.15, n.43",400p.,,
AB0508,"CORRÊA, Mariza",As ilusões da liberdade: a escola Nina Rodrigues e a Antropologia no Brasil,,,Ed.da Universidade São Francisco,2001,Bragança Paulista - SP,2,Livro,,404p.,Coleção Estudos CDAPH-Série Memória,
AB0509,"OLIVEIRA, Maria Elena Palma de",Lembranças do passado: a infância e a adolescência na vida de escritores brasileiros,,,EDUSF,2001,Bragança Paulista - SP,,Livro,,204p.,Coleção Estudos CDAPH-Série Memória,
AB0510,"CAMPOS, Kleber Garcia",O ateneu de Charles Dickens: sociedade e educação em duas obras literárias do século XIX.,,,Ed. da Universidade São Francisco/Instituto Francisco de Antropologia,2001,Bragança Paulista - SP,,Livro,,192p.,Coleção Estudos CDAPH-Série Historiografia,
AB0511,"NARODOWSKI, Mariano",Infância e poder: a conformação da Pedagogia Moderna,,,Ed.da Universidade São Francisco,2001,Bragança Paulista - SP,,Livro,,200p.,Coleção Estudos CDAPH-Série Historiografia. Tradução de Mustafá Yasbek,
AB0512,"GONDRA, José (org.)",Dos arquivos à escrita da história: a educação brasileira entre o Império e a República,,,Ed. da Universidade São Francisco/Instituto Francisco de Antropologia,2001,Bragança Paulista - SP,,Livro,,190p.,Coleção Estudos CDAPH-Série Historiografia,
AB0513,"FARIA FILHO, Luciano Mendes de","República, trabalho e educação-a ex-experiência do Instituto João Pinheiro (1909-1934)",,,Ed. da Universidade São Francisco,2001,Bragança Paulista - SP,,Cadernos,,174,Coleção Estudos CDAPH-Série Historiografia,
AB0514,"MAGALHÃES, Justino Pereira de","Alquimias a escrita: alfabetização, história, desenvolvimento no mundo ocidental do antigo regime.",,,Ed. da Universidade São Francisco,2001,Bragança Paulista - SP,,Livro,,216p.,Coleção Estudos CDAPH-Série Historiografia,
AB0515,"KUHLMANN JR., Moysés",As grandes festas didáticas. A educação brasileira e as exposições internacionais (1862-1922),,,Ed. da Universidade São Francisco,2001,Bragança Paulista - SP,,Livro,,262p.,Coleção Estudos CDAPH-Série Historiografia,
AB0516,"VIDAL, Diana Gonçalves (org.)","O exercício disciplinado do olhar: livros, leituras e práticas de formação docente do Instituto de Educação do Distrito Federal (1932-1937)",,,Ed. da Universidade São Francisco,2001,Bragança Paulista - SP,,Livro,,343p.,Coleção Estudos CDAPH-Série Historiografia,
AB0517,CEUPES,Manual do Calouro 2002,,,"CEUPES, Gestão Elegia, 1938",2002,São Paulo - SP,,Manual,,27p.,,
AB0518,Instituto de Estudos Avançados,,Revista Estudos Avançados.,,EDUSP,2002,São Paulo - SP,,Revista,"v.16, n44, jan-abr.",327p.,Obs: V. Mário Schenberg e Depoimentos: Gleb Wataghin,
AB0519,Instituto de Estudos Avançados,,Revista Estudos Avançados.,,EDUSP,1994,São Paulo - SP,,Revista,"v.8, n.2, set.-dez.",649p.,60 anos da USP. Ciências Básicas e Humanidades. Origens e linhas de pesquisa. Perfis de mestres,
AB0520,,,Estudos Avançados,,IEA-USP,set.-dez./1988,São Paulo - SP,,Revista,"v.2, n.3",118p.,,
AB0521,,,Revista de História,,FFLCH - USP,1996,São Paulo - SP,,Revista,n. 134,103p.,Constam 2 exemplares,
AB0522,"BLAJ, Ilana",A trama das tensões. O processo de mercantilização de São Paulo Colonial (1681-1721),,História de São Paulo,Humanitas,2002,São Paulo ,,Livro,,394p.,,
AB0523,"FONSECA, Marcus Vinicius",A educação dos negros: uma nova face do processo de abolição da escravidão no Brasil.,,,EDUSF,2002,Bragança Paulista - SP,,Livro,,202p.,Série Historiografia,
AB0524,"CAMPOS, M. Cristina Siqueira de Souza; SILVA, Vera Lúcia Gaspar de",Feminização do Magistério: vestígios do passado que marcam o presente.,,,EDUSF,2002,Bragança Paulista - SP,,Livro,,203p.,Série Memória,
AB0525,"CHAMON, Carla Simone",Festejos imperiais: festas cívicas em Minas Gerais (1815-1845),,,Universidade São Francisco,2002,Bragança Paulista - SP,,Livro,,196p.,Série Historiografia,
AB0526,"XAVIER, Libânia Nacif","Para além do campo educacional: um estudo sobre o manifesto dos pioneira da Educação Nova, 1932.",,,EDUSF,2002,Bragança Paulista - SP,,Livro,,113p.,Série Historiografia,
AB0527,,,Estudos Avançados,"Destruição da Amazônia; teologia da libertação; Casa das Américas, 30 anos.",IEA-USP,jan.-abr./1989,São Paulo - SP,,Revista,"v.3, n.5",96p.,Acompanha 1 exemplar.,
AB0528,"NOSELLA, Paolo",Qual compromisso político? Ensaios sobre a educação brasileira pós-ditadura,,,EDUSF,2002,Bragança Paulista - SP,,Livro,,174p.,Série História & Ciências Sociais,
AB0529,"VAGO, Tarcísio Mauro","Cultura escolar, cultivo de corpos: educação physica e gymnastica como práticas construtivas dos corpos de crianças no ensino público primário de Belo Horizonte, 1906-1920.",,,EDUSF,2002,Bragança Paulista - SP,,Livro,,369p.,Série Historiografia,
AB0530,"MARTINS, Maria do Carmo",A História orescrita e disciplinada nos currículos escolares: quem legitima esses saberes?,,,EDUSF,2002,Bragança Paulista - SP,,Livro,,274p.,Série História & Ciências Sociais,
AB0531,,,Secuencia. Revista de historia y ciencias sociales,,Instituto Mora,1999,México,,Revista,n.43,160p.,,
AB0532,FFLCH-USP,,Informe. Informativo da FFLCH-USP. Edição Especial. 1999-2001,,FFLCH-USP,2002,São Paulo - SP,,Informativo,,170p.,"Artigos e entrevistas apresentadas originalmente no Informe, no período de 1999-2001.Constam 2 exemplares.",
AB0533,,"Memória da FFCL/ FFLCH-USP. Catálogo da Exposição ""70 anos da FFLCH-USP""",,,SDI - FFLCH-USP,2002,São Paulo - SP,,Catálogo,,111p.,Constam 4 exemplares,
AB0534,USP,"Decreto n. 6283 de 25 de janeiro de 1934, criando a USP e a FFCL",Diário de São Paulo,,USP,1934,São Paulo - SP,,Decreto,,18p.,Constam 4 exemplares,
AB0535,FFLCH-USP,"Roteiro da Exposição ""70 anos da FFLCH-USP""",,,SDI - FFLCH-USP,2002,São Paulo - SP,,Texto,,,Consta convite da exposição,
AB0536,,O mundo do cidadão. Um cidadão do mundo. Encontro Internacional,,,Depto. de Geografia - FFLCH - USP,13-16 out./1996,São Paulo - SP,,Programa,,27p.,,
AB0537,"LEITE, Miriam L. Moreira","Faculdade de Filosofia 60 anos de Ensino, Pesquisa e Participação Social",,,CCS-USP,1994,São Paulo - SP,,,,15p.,,
AB0538,"NOVAES, Sylvia Caiuby",Livro do estudante,,,FFLCH-USP,1987,São Paulo - SP,,Livro,,45p.,,
AB0539,FFLCH-USP,Livro do estudante,,,FFLCH-USP,1987,São Paulo - SP,,,,12p.,"Depto. de História: corpo docente, graduação e pós-graduação ",
AB0540,FFLCH-USP,Catálogo dos Cursos de Graduação: Letras,,,Seção de Publicações - FFLCH - USP,1981,São Paulo - SP,,Catálogo,,77p.,,
AB0541,FFLCH-USP,Programas para 1979 - História,,,FFLCH-USP,1979,São Paulo - SP,,Separata,,p.311-353,,
AB0542,FFLCH-USP,Programas para 1980 - História,,,FFLCH-USP,1980,São Paulo - SP,,Separata,,p.63-108,,
AB0543,FFLCH-USP,Programas para 1981 - História,,,FFLCH-USP,1981,São Paulo - SP,,Separata,,p.398-435,,
AB0544,FFLCH-USP,Programas para 1982 - História,,,FFLCH-USP,1982,São Paulo - SP,,Separata,,p.3-53,,
AB0545,FFLCH-USP,Programas para 1983 - História,,,FFLCH-USP,1983,São Paulo - SP,,Separata,,p.3-37,,
AB0546,FFLCH-USP,Programas para 1985 - História,,,FFLCH-USP,1985,São Paulo - SP,,Separata,,p.43-72,Constam 2 exemplares.,
AB0547,FFCLCH - USP,A Universidade e as profissões,,,FFLCH-USP,2002,São Paulo - SP,,Relatório,,27p.,Constam 2 exemplares.,
AB0548,"RIZZINI, Irma; FONSECA, Maria Teresa da",História sobre a criança no Brasil-Bibliografia,,,UNESP,2001,Marília - SP,,Livro,v.3,73p.,Série Fontes ,
AB0549,,,Estudos Avançados,Amazônia Brasileira; Eleiçõess 2002; Entrevistas; Textos; Criação/ Fotografia,,mai.-ago./2002,São Paulo - SP,,Revista,"v.16, n.45",262p.,,
AB0550,ANPUH,"Programas e resumos. XVI Encontro Regional de História. Poderes e Representações. ANPUH- Núcleo Regional de São Paulo. UNESP, Campus de Franca.",,,ANPUH,2002,Franca - SP,,Programas e resumos,,275p.,,
AB0551,"BEZERRA, Holien Gonçalves (cord.)",Quem é Quem na História: Pesquisadores e Pesquisas no Brasil,,,CEGRAF,1996,Goiânia - GO,,Livro,,259,,
AB0552,"MIGNOT, Ana Chrystina Venancio","Baú de memórias, bastidores de histórias: o legado pioneiro de Armanda Álvaro Alberto",,,EDUSF,2002,Bragança Paulista - SP,,Livro,,356p.,Coleção Estudos CDAPH-Série Memória,
AB0553,"ALVES, Cláudia Maria Costa",Cultura e política no século XIX: o exército como campo de constituição de sujeitos políticos no Império.,,,EDUSF,2002,Bragança Paulista - SP,,Livro,,424p.,Coleção Estudos CDAPH-Série Historiografia,
AB0554,"MOREIRA, Carlos Otávio Fiúza",Entre os indivíduos e a sociedade: um estudo da filosofia da educação de John Dewey.,,,EDUSF,2002,Bragança Paulista - SP,,Livro,,217p.,Coleção Estdos CDAPH-Série Historiografia,
AB0555,"RIBEIRO, Maria das Graças M.",Educação superior brasileira: reforma e diversificação institucional,,,EDUSF,2002,Bragança Paulista - SP,,Livro,,209p.,Coleção Estudos CDAPH-Série conjuntura & política,
AB0556,FFLCH-USP,Relatório Síntese de Gestão do Prof. Dr. Francis Henrik Aubert,,,FFLCH-USP,2002,São Paulo - SP,,Relatório,,14p.,,
AB0557,"SOUZA, Antonio Alvimar",Consciência social e realidade nacional em Álvaro Vieira Pinto.,,,Ed. UEL/Univ. Estadual de Londrina (PR),1999,Londrina-PR,,Livro,,156p.,,
AB0558,,,Revista de História,,FFLCH - USP,1995,São Paulo - SP,,Revista,n. 133,159p.,Terceira Série,
AB0559,,,Revista de História,,FFLCH - USP,1999,São Paulo - SP,,Revista,n. 141,198p.,Terceira Série,
AB0560,,,Revista de História,,FFLCH - USP,2000,São Paulo - SP,,Revista,n. 142-143,370p.,Terceira Série,
AB0561,,,Revista de História,,FFLCH - USP,2001,São Paulo - SP,,Revista,n.144,230p.,Terceira Série,
AB0562,,,Revista de História,,FFLCH - USP,2001,São Paulo - SP,,Revista,n.145,249p.,Terceira Série,
AB0563,"CAPELATO, M. H. R. ",Produção Histórica no Brasil: 1985-1994: catálogo de dissertações e teses dos programas e cursos de pós-graduação em História ,,,Xamã,1995,São Paulo - SP,,Catálogo de Dissertações e Teses,v.1,219p.,,
AB0564,"CAPELATO, M. H. R. ",Produção Histórica no Brasil: 1985-1994: catálogo de dissertações e teses dos programas e cursos de pós-graduação em História ,,,Xamã,1995,São Paulo - SP,,Catálogo de Dissertações e Teses,v.2,307p.,,
AB0565,"CAPELATO, M. H. R. ",Produção Histórica no Brasil: 1985-1994: catálogo de dissertações e teses dos programas e cursos de pós-graduação em História ,,,Xamã,1995,São Paulo - SP,,Catálogo de Dissertações e Teses,v.3,351p.,,
AB0566,"COGGIOLA, Osvaldo, Luis (org.)",Espanha e Portugal: o fim das ditaduras,,,Xamã,1995,São Paulo - SP,,Livro,,231p.,Série Eventos,
AB0567,"NEGRETTI, Adriana (et alii)","Bibliografia comentada: urbanização, industrialização e migrações em São Paulo - séc. XIX e XX",,,FFLCH - USP,1995,São Paulo - SP,,Livro,,205p.,"Série iniciação, 2. Trabalho realizado em projeto de iniciação científica coordenado pela Profa. Zilda Márcia Gricoli Iokoi",
AB0568,"WISSENBACH, Maria Cristina","Sonhos africanos, vivências ladinas. Escravos e forros em São Paulo (1850-1880)",,,Ed. Hucitec/História Social-USP,1998,São Paulo - SP,,Livro,,287p.,,
AB0569,"FARIAS, Damião Duque",Em defesa da ordem. Aspectos da práxis conservadora católica no meio operário em São Paulo (1930-1945),,,Ed. Hucitec/História Social-USP,1998,São Paulo - SP,,Livro,,267p.,,
AB0570,"KARNAL, Leandro",Teatro da Fé. Representação religiosa no Brasil e no México do século XVI.,,,Ed. Hucitec/História Social-USP,1998,São Paulo - SP,,Livro,,253p.,,
AB0571,"FIGUEIREDO, Anna Cristina Camargo Moraes","Liberdade é uma calça velha, azul e desbotada. Publicidade, cultura de consumo e comportamento político no Brasil (1954-1964)",,,Hucitec/História Social-USP ,1998,São Paulo - SP,,Livro,,159p.,,
