Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCB-23,"Berbel, Márcia Regina ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente.,,Departamento de História ,São Paulo,2014,42p.,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
C,,,,,,,,,,
MCC-01,"Campos, Pedro Moacyr ",Currículo ,,,Departamento de História ,São Paulo,s.d.,04p. ,,Módulo 1      Cx. C-01
MCC-02,"Capelato, Maria Helena Rolim ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,41p. ,,Módulo 1      Cx. C-01
MCC-03,"Carlos, Ana Fani Alessandri",Currículo,,,Departamento de Geografia ,São Paulo,s.d.,14p.,,Módulo 1      Cx. C-01
MCC-04,"Carneiro, Maria Luiza Tucci ",Currículo,,,Departamento de História ,São Paulo,s.d. ,54p. ,,Módulo 1      Cx. C-01
MCC-05,"Carone, Edgard ",Memorial ,Concurso público de Títulos e provas na função de Professor Adjunto  na UNESP - Araraquara ,,"Instituto de Letras, Ciências Sociais e Educação do Departamento de Economia  ",Araraquara - São Paulo,s.d.,25p. ,,Módulo 1      Cx. C-01
MCC-06,"Carone, Edgard ",Currículo ,,,Departamento de História ,São Paulo,s.d.,24p. ,,Módulo 1      Cx. C-01
MCC-07,"Castro, Paulo Pereira da",Currículo ,,,Departamento de História ,São Paulo,s.d. [ 1979],04p. ,,Módulo 1      Cx. C-01
MCC-08,"Cavalheiro, Felisberto ",Memorial ,Concurso Público de Títulos e provas na função de Professor Assistente ,,Departamento de Geografia ,São Paulo,s.d. ,65p. Incluindo complemento ,,Módulo 1      Cx. C-01
MCC-09,"Coggiola, Osvaldo Luis Angel ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,31p. ,,Módulo 1      Cx. C-01
MCC-10,"Coltrinari, Lylian Zulma Doris",Currículo ,,,Departamento de Geografia ,São Paulo,s.d.,40p. ,,Módulo 1      Cx. C-01
MCC-11,"Corassin, Maria Luiza ",Currículo ,,,Departamento de História ,São Paulo,s.d. ,08p. ,,Módulo 1      Cx. C-01
MCC-12,"Carrato, José Ferreira ",Memorial ,Candidato a Livre-docente da disciplina de Cultura e Civilização do Brasil ,,Departamento de História ,São Paulo,1971,16p. ,,Módulo 1      Cx. C-01
MCC-13,"Capelato, Maria Helena Rolim ",Memorial ,Concurso público de Títulos e provas  de Professor Assistente na disciplina de História das Institutições ,,Departamento de História ,São Paulo,1987,49p. ,,Módulo 1      Cx. C-01
MCC-14,"Carneiro, Maria Luiza Tucci ",Memorial ,,,Departamento de História ,São Paulo,1987,25p. ,,Módulo 1      Cx. C-01
MCC-15,"Cardoso, Irene de Arruda Ribeiro ",Memorial ,Concurso para provimento efetivo de cargo de  Professor Assistente do conjunto de disciplinas de Sociologia,,Departamento de Sociologia ,São Paulo,1988,31p. ,,Módulo 1      Cx. C-01
MCC-16,"Carlos, Ana Fani Alessandri",Memorial ,Concurso público de Títulos e provas na função de Professor ,,Departamento de Geografia ,São Paulo,1988,65p. ,,Módulo 1      Cx. C-01
MCC-17,"Castro, Selma Simões de ",Memorial ,Provimento de vaga no quadro da universidade,,Departamento de Geografia ,São Paulo,1988,43p. ,,Módulo 1      Cx. C-01
MCC-18,"Camargo, Ana Maria de Almeida ",Currículo,,,Departamento de História ,São Paulo,1990,20p. ,,Módulo 1      Cx. C-01
MCC-19,"Castro, Selma Simões de ",Memorial - atualização ,,,Departamento de Geografia ,São Paulo,1990,06p. ,,Módulo 1      Cx. C-01
MCC-20,"Carone, Edgard ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina de História do Brasil ,,Departamento de História ,São Paulo,1991,69p. ,,Módulo 1      Cx. C-01
MCC-21,"Conti, José Bueno",Memorial ,Concurso público de Títulos e provas na função de Professor Titular ,,Departamento de Geografia ,São Paulo,1996,174p. ,,Módulo 1      Cx. C-01
MCC-22,"Cavaliere, Arlete  Orlando",Memorial ,Concurso Público de Títulos e provas na função de Professor Doutor,,Departamento de Letras Orientais ,São Paulo,1999,87p. ,,Módulo 1      Cx. C-02
MCC-23,"Coltrinari, Lylian",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Geomorfologia ,,Departamento de Geografia ,São Paulo,2003,108p. ,,Módulo 1      Cx. C-02
MCC-24,"Carlos, Ana Fani Alessandri",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,,Departamento de Geografia ,São Paulo,2004,203p.  ,2 exemplares + 1 exe.2,Módulo 1      Cx. C-02
MCC-25,"Cevasco, Maria Elisa Burgos Pereira da Silva ",Memorial ,"Concurso público de Títulos e provas na função de Professor Titular na Área de Estudos Linguísticos e Literários em Inglês , disciplina de  Literaturas de Língua Inglesa",Francis Henrik Aubert - DLM-FFLCH/ Sergio Miceli Pessôa de Barros - DS-FFLCH/ Roberto Schwarz - UNICAMP/ Carlos Daghlian - UNESP-SJRP/ Solange  Ribeiro de Oliveira - UFMG,Departamento de Letras Modernas ,São Paulo,2005,55p. ,Acompanha relatório final do concurso público,Módulo 1      Cx. C-02
MCC-26,"Costa, Wanderley Messias da ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na disciplina de Geografia Política ,Sedi Hirano - DS - FFLCH/ Amália Inês Geraiges de Lemos - DG-FFLCH/  Myriam Krasilchik - FE-USP/  Maria Ruth Amaral de Sampaio - FAU-USP/ Nélio Marco Vicenzo Bizzo - FE-USP ,Departamento de Geografia ,São Paulo ,2005,86p. + anexos ,Acompanha relatório final do concurso público,Módulo 1      Cx. C-02
MCC-27,"Capelato, Maria Helena Rolim ",Memorial ,Concurso público de Títulos e provas  de Professor Titular na disciplina de História da América Independente,Eni de Mesquita Samara - DH-FFLCH/ Sérgio França Adorno de abreu - DS-FFLCH/ Angela Maria de Castro Gomes - FGV/ Maria Victoria de Mesquista Benevides Soares - FE-USP/ Lucilia de Almeida Neves Delgado - PUC-MG,Departamento de História ,São Paulo,2006,159p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. C-03
MCC-28,"Colangelo, Antonio Carlos ",Memorial ,Concurso público de Títulos e provas ,,Departamento de Geografia ,São Paulo,2007,48p. ,2 exemplares ,Módulo 1      Cx. C-03
MCC-29,"Cancelli, Elizabeth ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-docente  na disciplina História do Brasil Independente,,Departamento de História ,São Paulo,2008,40p. ,02 exemplares ,Módulo 1      Cx. C-03
MCC-30,"Cavaliere, Arlete  Orlando",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente no Departamento de Letras Orientais, área de Língua e Literatura Russa, disciplina de Cultura Russa",João Roberto Gomes de Faria - DLCV-FFLCH/ Aurora Fornoni Bernardini - DLO-FFLCH/ Paulo Azevedo Bezerra - UFF/ Luiz Arthur Ferreira Freire Nunes - UNIRIO/ Sérgio Luiz Rodrigues Medeiros - UFSC,Departamento de Letras Orientais ,São Paulo,2008,131p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. C-03
MCC-31,Chen Tsung Jye,Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Chinesa, disciplina de Cultura Chinesa ",Mario Bruno Sproviero - DLO - FFLCH/ Aida Ramezá Hanania - DLO - FFLCH/ Lee Tseng Sheng Gerald - UFSCar/ Shiow Shong Lin- UFSC/ Abraham Sin Oih Yu - FEA-USP,Departamento de Letras Orientais ,São Paulo,2008,44p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. C-03
MCC-32,"Corrêa, Paula  da Cunha ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo ,2008,47p. ,02 exemplares ,Módulo 1      Cx. C-03
MCC-33,"Costa, Wanderley Messias da ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular em Geografia ,Gabriel Cohn - DCP- FFLCH/ Antonio Carlos Robert Moraes -DG-FFLCH/ Bertha Koiffmann Becker - UFRJ/ Eliseu Savério Spósito - UNESP- Presidente Prudente/ Pedro Roberto Jacobi - FE-USP,Departamento de Geografia ,São Paulo ,2008,140p. + anexos ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. C-03
MCC-34,"Cordaro, Madalena Natsuko Hashimoto",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente no Departamento de Letras Orientais ,,Departamento de Letras Orientais ,São Paulo,2011,95p.,,Módulo 1      Cx. C-04
MCC-35,"Corrêa, Manoel Luiz Gonçalves ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Filologia e Língua Portuguesa , opção 8 : Linguística Aplicada",Ieda Maria Alves - DLCV-FFLCH/ Helena Hathsue Nagamine Brandão - DLCV-FFLCH/ Angela del Carmen Bustos Romero de Kleiman - UNICAMP/ Roberto Gomes Camacho - UNESP - São José do Rio Preto/  Leda Verdiani Tfouni - FFCL-RP-USP,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2011,202p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. C-04
MCC-36,"Cavaliere, Arlete Orlando",Memorial ,"Concurso público de Títulos e provas na função de Professor Titular na Área de Língua e Literatura Russa, disciplina Cultura Russa e Teatro Russo  ",Moacir Aparecido Amâncio -DLO-FFLCH/ Aurora Fornoni Bernardini - DLO - FFLCH/ Mário Fernando Bolognesi - UNESP -SP/ Luiz Arthur Ferreira  Freire Nunes - UNIRIO/ Daniel Aarão Reis Filho - UFF - RJ ,Departamento de Letras Orientais ,São Paulo,2012,247p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. C-04
