Tombo,Autor,Título,Finalidade,Comissão Julgadora,Departamento ,Local,ano,nº páginas,Obs: ,Localização
MCS - 44,"Safatle, Vladimir Pinheiro",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente na Área de Epistemologia das Ciências Humanas ,Marilena de Souza Chaui - DF-FFLCH/ Ruy Fausto - DF-FFLCH/ Marcos Lutz Müller - UNICAMP - Oswaldo Giacóia Júnior - UNICAMP/ Rodrigo Antonio de Paiva Duarte - UFMG ,Departamento de Filosofia ,São Paulo,2009,50p. ,02 exemplares ,Módulo 1      Cx. S-03
MCS - 45,"Saliba, Elias Thomé ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na disciplina Teoria da História ,Maria Helena Rolim Capelato - DH-FFLCH/ Maria Odila Leite da Silva Dias - DH-FFLCH/ Murilo de Azevedo Marx - FAU-USP/ Eliana Regina de Freitas Dutra - UFMG / Regis Duprat - ECA-USP,Departamento de História ,São Paulo,2009,47p. + 69 de curriculo,Acompanha relatório final do concurso público- 02 exemplares ,Módulo 1      Cx. S-03
MCS - 46,"Silva, Marcelo Candido da ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-docente em História Medieval ,Raquel Glezer - DH-FFLCH/ Carlos Roberto Figueiredo Nogueira - DH-FFLCH/ Daniel Valle Ribeiro - UFMG/ Vânia Leite Fróes - UFF-RJ/ ,Departamento de História ,São Paulo,2010,52p.  e 178p. ,v.1 e v.2. v-1 - 02 exemplares ,Módulo 1      Cx. S-03
MCS - 47,"Souza, Lynn Mario Trindade  Meneses de",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina de Língua Inglesa,Benjamin Abdala Júnior - DLCV-FFLCH/ Maria Elisa Burgos Pereira da Silva Cevasco - DLM-FFLCH/ Leila Cristina de Mello Darin - PUC-SP/ Kanavillil Rajagopalan - UNICAMP / José Amálio Branco Pinheiro - PUC-SP  ,Departamento de Letras Modernas ,São Paulo,2009,102p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. S-04
MCS - 48,"Secco, Lincoln Ferreira ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,Marcos Antonio da Silva - DH-FFLCH/ Wilson do Nascimento Barbosa - DH-FFLCH/ João Carlos Kfouri Quartim de Moraes - UNICAMP/ Anna Maria Martinez Corrêa - UNESP/ Marcos Tadeu Del Roio - UNESP - Marília ,Departamento de História ,São Paulo,2011,58p. ,02 exemplares ,Módulo 1      Cx. S-04
MCS - 49,"Santiago, Homero Silveira ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na disciplina Filosofia Geral ,Maria das Graças de Souza - DF-FFLCH/ Marilena de Souza Chaui - DF-FFLCH/ Giuseppe Mario Cocco- UFRJ/ Oswaldo Giacoia Júnior - UNICAMP/ Salma Tannus Muchail - PUC,Departamento de Filosofia,São Paulo,2012,142p.,Acompanha relatório final do concurso público,Módulo 1      Cx. S-04
MCS - 50,"Singer, André Vitor ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na  Disciplina Partidos e eleições no Brasil  Pós-45,Fernando de Magalhães Papaterra Limongi - DCP-FFLCH/ Francisco Maria Cavalcanti de Oliveira - DS- FFLCH/ Luiz Carlos Bresser Gonçalves Pereira - FEA-USP/ Leda Maria Paulani - FEA-USP/ Maria Victória de Mesquita Benevides Soares - FE-SUP ,Departamento de Ciência Política ,São Paulo ,2012,38p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. S-04
MCS - 51,"Silva, Márcio Ferreira da ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente no Departamento de Antropologia   ,Sylvia Maria Caiuby Novaes -  DA-FFLCH/ José Guilherme Cantor Magnani - DA-FFLCH/ Carlos Eduardo Ferreira - IME-USP/ Júlio Cézar Melatti - UnB/ Roque de Barros Laraia- UnB,Departamento de Antropologia ,São Paulo,2012,63P. ,Acompanha relatório final do concurso público,Módulo 1      Cx. S-04
MCS - 52,"Souza, Marina de Mello e",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História da África ,Leila Maria Gonçalves Leite Hernandez - DH-FFLCH/ Kabenguele Munanga - DA-FFLCH/ Ronaldo Vainfas - UFF-RJ/ Silvia Hunold Lara - UNICAMP/  Fernando Torres Londoño - PUC-SP ,Departamento de História ,São Paulo,2012,94p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. S-04
MCS- 53 ,"Silva, Vagner Gonçalves da",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Antropologia das Populações Africanas e Afro-Brasileira ,José Guilherme Cantor Magnani- DA-FFLCH/ Lilia Katri Moritz Schwarcz - DA-FFLCH/ Sérgio Figueiredo Ferreti - UEMA/  Fernando Giobellina Brumana - Univ. de Cádiz/ Peter Henry Fry - UFRJ,Departamento de Antropologia ,São Paulo,2013,83p. ,Acompanha relatório final do concurso público. ,
MCS- 54 ,"Simas, Mônica Muniz de Souza ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Literatura Portuguesa, opção 6 : Literatura em Português Contemporâneo (séculos XX e XXI)",Hélder Garmes - DLCV-FFLCH/ Mário César Lugarinho - DLCV- FFLCH/ Jorge Fernandes da Silveira - UFRJ/ Maria Lúcia Dal Farra - UFS/ Eneida Leal Cunha- PUC-SP ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2013,35p. ,Acompanha relatório final do concurso público. ,
MCS - 55 ,"Soares, Gabriela Pellegrino ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de História da América, disciplina de História da América Independente",Maria Helena Rolim Capelato - DH-FFLCH/ Maria Lígia Coelho Prado - DH-FFLCH/ Angela Maria Castro Gomes - UNIRIO/ Eliana Regina de Freitas Dutra - UFMG / José Luís Bendicho Beired - UNESP,Departamento de História ,São Paulo,2014,71p. ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
T,,,,,,,,,,
MCT- 01,"Torrano, José Antonio Alves ",Memorial ,Concurso público de Títulos e provas na função de Professor  Titular na Área de Língua e Literatura Grega ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,12/12/2008,130p. ,02 exemplares ,Módulo 1      Cx. T-01
MCT- 02,"Taschner, Gisela Black",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente,Gabriel Cohn- DCP-FFLCH/ Sedi Hirano - DS-FFLCH/ Waldenyr Caldas - ECA-USP/ Guita Grin Debert - UNICAMP/ Luiz Carlos Bresser Gonçalves Pereira - FBV/EAESP,Departamento de Sociologia ,São Paulo,2010,53p. ,02 exemplares ,Módulo 1      Cx. T-01
MCT- 03,"Topel, Marta Francisca ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Hebraico, disciplina de Cultura do Povo Judeu nos Tempos Modernos",Berta Waldman - DLO - FFLCH/ José Reginaldo Prandi - DS -FFLCH/ Peter Henry Fry - UFRJ/ Bila Sorj - UFRJ/ Tullo Vigevani - UNESP ,Departamento de Línguas Orientais ,São Paulo,,36p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. T-01
MCT- 04,"Telles, Vera da Silva ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente,Sérgio França Adorno de Abreu - DS- FFLCH/ Lúcio Félix Frederico Kowarick - DCP-FFLCH/ Maria Alice Rezende de Carvalho -PUC-RJ/ Evelina Dagnino - UNICAMP/ Angelina Teixeira Peralva das Chagas e Silva - Univ. de Toulouse Le Mirail,Departamento de Sociologia ,São Paulo,,51p. ,02 exemplares ,Módulo 1      Cx. T-01
,,,,,,,,,,
U,,,,,,,,,,
,,,,,,,s.d. ,,,
V,,,,,,,s.d. ,,,
MCV- 01,"Vanzolini, Paulo Emílio ",Currículo ,,,Departamento de História ,São Paulo,1987,02p. ,,Módulo 1      Cx. V-01
MCV- 02,"Vesentini, Carlos Alberto",Currículo ,,,Departamento de História ,São Paulo,1988,03p. ,,Módulo 1      Cx. V-01
MCV- 03,"Vesentini, Carlos Alberto",Memorial ,"Concurso público de Títulos e provas para provimento do cargo de Professor Assistente  na disciplina História das Idéias, da Cultura e das Instituições ",,Departamento de História ,São Paulo,1988,40p. ,,Módulo 1      Cx. V-01
MCV- 04,"Vasconcellos, Regina ",Memorial ,Concurso público de Títulos e provas para provimento do cargo de Professor Assistente ,,Departamento de Geografia ,São Paulo,1990,38p. ,,Módulo 1      Cx. V-01
MCV- 05,"Vesentini, José William ",Memorial ,Concurso público de Títulos e provas na função de Professor Assistente ,,Departmento de Geografia ,São Paulo,1990,33p. ,,Módulo 1      Cx. V-01
MCV- 06,"Vasconcellos, Regina ",Memorial ,Concurso público de Títulos e provas para provimento do cargo de Professor Assistente ,,Departamento de Geografia ,São Paulo,2000,25p. ,,Módulo 1      Cx. V-01
MCV- 07,"Vesentini, José William ",Memorial - complementação,,,Departmento de Geografia ,São Paulo,2006,09p. ,,Módulo 1      Cx. V-01
MCV- 08,"Vasconcelos, Sandra Guardini Teixeira",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-docente em Literaturas de Língua Inglesa ,,Departamento de Letras Modernas ,São Paulo ,2007,39p. ,,Módulo 1      Cx. V-01
MCV- 09,"Vita, Álvaro de ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-docente ,,Departamento de Ciência Política ,São Paulo,2008,"27p. + exemplarar de ""O Liberalismo Igualitário em perspectiva doméstica e Internacional""  - 260p. 2 exemplares do memorial ",,Módulo 1      Cx. V-01
MCV- 10,"Villa, Rafael Antonio Duarte ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente ,Gabriel Cohn- DCP-FFLCH/ Maria Hermínia Brandão Tavares de Almeida - DCP - FFLCH/  Eduardo  José Viola - UnB/ Tullo Vigevani - UNESP - Marília/ Clodoaldo Bueno -UNESP - Assis ,Departamento de Ciência Política ,São Paulo,2008,79p. ,,Módulo 1      Cx. V-01
MCV- 11,"Vasconcelos, Sandra Guardini Teixeira",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de Estudos   Literários e Linguísticos em Inglês ,Antonio Dimas de Morais - DLCV-FFLCH/ Davi Arrigucci Júnior - DTLLC- FFLCH/ Carlos Daghlian - UNESP - SJRP/ Vilma Sant´Anna Arêas - UNICAMP/ Marisa Philbert Lajolo - UNICAMP ,Departamento de Letras Modernas ,São Paulo ,2010,81p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. V-02
MCV- 12,"Vieira, Maria Augusta da Costa",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua Espanhola e Literaturas Espanhola e Hispano-americana, disciplina de Literatura Espanhola ",María de la Concepción Piñero Valverde - DLM-FFLCH/ João Adolfo Hansen - DLCV-FFLCH/ Gaucira Marcondes Machado Leite - UNESP-Araraquara/ Antonio Alcir Bernardez Pécora -  UNICAMP/ Silvia Maria Azevedo - UNESP - Assis,Departamento de Letras Modernas ,São Paulo,2010,50p. + 74p (curriculim),Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. V-02
MCV- 13,"Vasconcelos, Maurício Salles de ",Memorial ,Concurso público de Títulos e provas para provimento do cargo de Professor Livre-Docente na Área de Estudos Comparados de Literaturas de Língua Portuguesa,Antonio Vicente Seraphim Pietroforte - DL-FFLCH/ Moacir Aparecido Amâncio - DLO-FFLCH/ Giuseppe Mario Cocco -UFRJ / Cecília Almeida Salles - PUC-SP / Ivo Biasio Barbieri - UERJ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2010,38p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. V-02
MCV- 14,"Vita, Álvaro de ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na disciplina de Teoria Política ,,Departamento de Ciência Política ,São Paulo,2010,77p. ,02 exemplares ,Módulo 1      Cx. V-02
MCV- 15,"Viaro, Mário Eduardo ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Filologia e Língua Portuguesa - opção 9: Morfologia Histórica da Língua Portuguesa,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2011,56p. ,02 exemplares ,Módulo 1      Cx. V-02
MCV- 16,"Venturi,  Luis Antonio Bittar ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente  na disciplina de Geografia dos Recursos Naturais ,Jurandyr Luciano Sanches Ross - DG - FFLCH/ José Bueno Conti - DG-FFLCH/ Hervé Emilien René Théry - CNRS - Paris/ Miguel César Sanches - UNESP- Rio Claro/ Antonio José Teixeira Guerra - UFRJ ,Departmento de Geografia ,São Paulo,2012,100p. ,Acompanha relatório final do concurso público - 02 exemplares ,Módulo 1      Cx. V-02
MCV- 17,"Vieira, Maria Augusta da Costa",Memorial ,"Concurso público de Títulos e provas na função de Professor Titular na Área de Língua Espanhola e Literaturas Espanhola e Hispano-americana, disciplina de Literatura Espanhola ",Sandra Margarida Nitrini - DTLLC-FFLCH/ Berta Waldman - DLO-FFLCH/ Suzi Frankl Sperber - UNICAMP/ Jacyntho José Lins Brandão - UFMG/ Maria Célia de Moraes Leonel- UNESP - Araraquara,Departamento de Letras Modernas ,São Paulo,2014,168p. ,Acompanha relatório final do concurso público ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
w,,,,,,,,,,
MCW- 01,"Witter, José Sebastião ",Currículo ,,,Departamento de História ,São Paulo,1970,156p. ,,Módulo 1      Cx. W-01
MCW- 02,"Wright, Antonia Fernanda Pacca de Almeida ",Currículo ,,,Departamento de História ,São Paulo,1982,46p. ,,Módulo 1      Cx. W-01
MCW- 03,"Wright, Antonia Fernanda Pacca de Almeida ",Currículo ,,,Departamento de História ,São Paulo,1987,4p.,,Módulo 1      Cx. W-01
MCW- 04,"Wernet, Augustin",Curriculo,,,Departamento de História ,São Paulo,1990,28p. ,,Módulo 1      Cx. W-01
MCW- 05,"Wernet, Augustin",Memorial ,,,Departamento de História ,São Paulo,2002,66p. ,,Módulo 1      Cx. W-01
MCW- 06,"Wernet, Augustin",Currículo,,,Departamento de História ,São Paulo,2009,75p. ,,Módulo 1      Cx. W-01
MCW- 07,"Waldman, Berta ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,,Departamento de Línguas Orientais ,São Paulo,2009,52p. ,,Módulo 1      Cx. W-01
MCW- 08,"Waizbort, Leopoldo Garcia Pinto",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de Sociologia da Cultura ,Maria Arminda do Nascimento Arruda - DS-FFLCH/  Sérgio Miceli Pessoa  de Barros - DS-FFLCH/ Bárbara Freitag-Rouanet- UnB/ Estevão Chaves de Rezende Martins- UnB/ Ricardo Augusto Benzaquen Araújo - IUPERJ,Departamento de Sociologia ,São Paulo,2009,112p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. W-01
MCW- 09,"Werle, Marco Aurélio ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente em  Filosofia ,,Departamento de Filosofia ,São Paulo,2009,49p. ,02 exemplares ,Módulo 1      Cx. W-01
MCW- 10,"Wisnik, José Miguel Soares ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente na Área de Literatura Brasileira ,,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2009,189p. ,02 exemplares ,Módulo 1      Cx. W-01
MCW- 11,"Wataghin, Lúcia ",Memorial ,"Concurso público de Títulos e provas na função de Professor Livre-Docente na  Área de Língua e Literatura Italiana, disciplina de Literatura Italiana ",Luiz Dagobert de Aguirra Roncari - DLCV-FFLCH/ Aurora Fornoni Bernardini - DLO - FFLCH/  Flora De Paoli Faria - UFRJ / Antônio Lázaro de Almeida Prado - UNESP - Assis/ Maria Betânia Amororso - IEL - UNICAMP,Departamento de Letras Modernas ,São Paulo ,2011,63p. ,Acompanha relatório final do concurso público,Módulo 1      Cx. W-01
MCW- 12,"Werner, Christian ",Memorial ,Concurso público de Títulos e provas na função de Professor Livre-Docente na Área de Língua e Literatura Grega ,José Antonio Alves Torrano - DLCV-FFLCH/ Zelia Ladeira Veras de  Almeida Cardoso - DLCV-FFLCH/ Jacyntho José Lins Brandão - UFMG/ Pedro Paulo Abreu Funari - UNICAMP / Maria Beatriz Borba Florenzano - MAE- USP ,Departamento de Letras Clássicas e Vernáculas ,São Paulo,2012,36p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. W-01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
X,,,,,,,,,,
,,,,,,,,,,
Y,,,,,,,,,,
MCY-01,"Yamagishi, Harumi ",Currículo ,professor- contratado ,,Departamento de História ,São Paulo,,03p. ,,Módulo 1      Cx. Y-Z-01
MCY-02,"Yazigi, Eduardo ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular na Área de Geografia,,Departamento de Geografia ,São Paulo,2005,85p. ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Z,,,,,,,,,,
MCZ-01,"Zingaro, Marco Antônio de Ávila ",Memorial ,Concurso público de Títulos e provas na função de Professor ,,Departamento de Filosofia ,São Paulo,2013,34p. ,,Módulo 1      Cx. Y-Z-01
MCZ-02,"Zeron, Carlos Alberto de Moura Ribeiro ",Memorial ,Concurso público de Títulos e provas na função de Professor  Livre-Docente ,Laura de Mello e Souza - DH-FFLCH/ Modesto Florenzano - DH-FFLCH/ Marina Massimi -  USP - Ribeirão Preto/ Fernando Torres Londoño - PUC-SP/ Silvia Hunold Lara - UNICAMP,Departamento de História ,São Paulo ,2009,50p. ,Acompanha relatório final do concurso público. 02 exemplares,Módulo 1      Cx. Y-Z-01
MCZ-03,"Zeron, Carlos Alberto de Moura Ribeiro ",Memorial ,Concurso público de Títulos e provas na função de Professor Titular,Osvaldo Luis Angel Coggiola - DH-FFLCH/ Ulpiano Toledo Bezerra de Meneses - DH-FFLCH/ Flávio Azevedo Marques de Saes - FEA-USP/ João Luis Ribeiro Fragoso - UFRJ/  Fernando Torres Londoño - PUC -SP,Departamento de História ,São Paulo ,2013,109p. ,Acompanha relatório final do concurso público. 02 exemplares ,Módulo 1      Cx. Y-Z-01
